timestamp,curIn,curOut,amount,txid
1510758014.66,ETH,SALT,0.01271241,
1511803068.39,BTC,ETC,0.01037837,452439
1507717152.77,LTC,GNT,0.19805902,
1508110331.08,ETH,BTC,0.575166537087,
1511785553.58,ETH,BCH,0.35289712,613986
1512099608.8,LTC,DASH,28.36252792,229494
1512014024.91,ZEC,LTC,0.14050001,873447
1512163079.49,LTC,ETH,0.2,95547
1512235910.22,LTC,ETH,0.05143,621007
1509840951.05,BTC,ETH,0.078645,
1508114972.46,BTC,SALT,0.02662448,
1511937939.78,ETH,LTC,0.30938543,416297
1511943763.27,ETH,BTC,5,878101,
1508818059.82,LTC,DGB,6.31942974,
1512177670.99,ETH,DOGE,0.05858,325528
1511867762.07,GNO,BTC,1.03142812,290250
1512107341.03,XMR,ETH,0.292855495406,841562
1511964619.61,GNT,DASH,69.83790452,228405
1511053328.02,DASH,DGB,0.00905434,
1511768696.44,BTC,EDG,0.01,209106
1511878183.54,LTC,BCH,0.13454687,933745
1512230220.96,ETH,BAT,0.02188697,369483
1510210813.85,LTC,VTC,0.08222083,
1511697356.49,GNT,BAT,118.48341232,579880
1511924021.81,LTC,CVC,1,383883
1512021222.71,ETH,BTC,1.3146478,75711
1511818730.88,BLK,MONA,153.663,607722
1512098558.04,ETH,LTC,0.02218112,830610
1511947673.27,ETH,DASH,0.07584568,596604
1512198630.57,ZEC,ETH,0.80804176,594888
1511777878.09,LTC,BTC,5.13825106,499766
1512035774.87,ETH,DASH,1.5,634170
1509304705.36,ETH,LTC,0.0262,
1509369922.1,ETH,XMR,10.097677,
1507404929.69,DOGE,LTC,15672,
1512127895.81,ETH,VTC,0.64438233,633256
1511851403.24,BTC,LTC,0.01904577,933809
1512240917.42,ETH,BCH,1,473965
1512185217.03,LTC,BTC,20.319,405272
1510564961.66,BTC,ETH,0.75,
1512061232.65,DASH,BTC,6.5,55383
1507775997.47,ETH,XRP,0.202,
1511967612.46,ETH,OMG,0.5,353510
1512255385.06,DOGE,ETH,554.9196074,631576
1512038696.01,XEM,XRP,4330,406905
1511987179.86,GAME,EOS,10,73584
1511894503.6,ETH,DNT,0.21448641,667618
1507701777.98,LTC,ETH,1.99438575,
1512177826.9,ETH,DASH,0.01219436,347029
1507902126.41,DASH,BTC,1.27531976,
1511932093.22,ETH,BTC,0.999559,608712
1512001778.12,DOGE,BCH,3977.81393095,969831
1511833359.42,LTC,VTC,2,638279
1510002894.05,ETH,ANT,0.33969547,
1512159615.28,ETC,ETH,15,891928
1512048460.15,BTC,DASH,0.04779669,248531
1511787058.35,ETH,BTC,1.26087504,258622
1510320988.49,LTC,BTC,19.11488264,
1511256821.59,EOS,ETH,50,
1507436494.02,LTC,OMG,1.05,
1511915612.35,ETH,LTC,0.0323,681909
1511976732.26,LTC,BTC,1.971337,643219
1512073199.26,XMR,ETH,0.62,743383
1512014781.97,ETH,SNT,0.05,143084
1510944473.33,ETH,LTC,4,
1512174840.47,ETH,EOS,0.09754852,795676
1510423885.67,ETH,BTC,15.887,
1512107157.05,ETH,EOS,0.034673,275055
1509283170.6,OMG,EOS,39.29768861,
1511805440.09,ETH,EOS,0.15797378,836412
1510474970.59,ETH,BCH,1.999,
1512060997.21,LTC,BTC,2.997627,59109
1511042897.11,ETH,LTC,8.32070629,
1511989897.49,XMR,ETH,26.1,612367
1512056150.57,BCH,BTC,7.22321413,496562
1511953617.56,LTC,DASH,0.6817562,595654
1512056832.43,ETH,SALT,0.00486702,244300
1511970737.86,ETH,BTC,0.132253784948,142766
1508709494.07,LTC,ETH,80.4584317,
1511276870.55,BTC,DASH,0.10822394,
1508932471.69,ETH,BTC,0.37763086,
1507544049.54,ETH,BTC,0.871414019733,
1511972796.01,GNT,LTC,358.3310402,286180
1510412188.17,ETH,BCH,0.99930085,
1512201378.55,ETH,BTC,4.06916,391265
1511812400,GNO,DCR,0.31857328,911537
1511921022.48,OMG,LTC,510.44053399,446117
1512107670.09,ETH,ANT,0.0117,242857
1512110375.13,OMG,ETH,61.99,636189
1512142836.83,BLK,VTC,167.65709519,153992
1511765803.07,ETH,GNT,2.68699798,501342
1510325646.07,SALT,BCH,26.10966057,
1509750956.01,BTC,ETH,0.080295,
1512058154.07,ETH,FUN,0.33401685,893967
1510303794.87,ETH,OMG,2.44483652,
1508055602.28,LTC,BTC,0.44555716,
1512098606.61,EOS,GNT,46.85039553,694650
1511831514.65,ETH,BAT,1,879788
1512127826.3,ETC,BCH,0.999601887262,678015
1512067122.74,DOGE,1ST,1517,283473
1511918062.34,BTC,ANT,0.00096603,818804
1512061372.5,ETH,DASH,2.00982174611,961331
1512127349.7,BTC,ETH,0.0042,899731
1508046416.77,LTC,BTC,22.16670779,
1511400803.82,EOS,BCH,479.46325918
1511310686.99,ETH,BTC,13.7,
1509547905.25,ETH,BTC,15,
1507333893.66,BTC,GNT,0.03445925,
1509554452.19,ETH,BTC,1.77722102,
1511730799.1,ETH,VTC,0.03448102,866041
1508238154.84,LTC,XEM,10,
1508349875.9,ETH,BTC,0.05820085,
1512038489.9,ETH,VTC,0.0006,659499
1511029320.58,ETH,EOS,14.20302878,
1511767452.03,DASH,DNT,0.10467258,99561
1512227682.48,ETH,ETC,1.28673002,884121
1509653841.09,BTC,DOGE,5.46e-05
1508160227.58,BTC,ETH,0.4209441,
1510354582.9,LTC,BCH,79.31494065,
1507829731.08,ETH,BTC,0.247231012658,
1508225107.68,1ST,ETH,1666.66666667,
1510859551.12,ZEC,BTC,1.785,
1511813418.91,ETH,BCH,0.100201344752,246861
1512251659.88,ETH,BAT,0.04427507,294645
1512103915.32,ANT,DASH,8.60563032,289082
1509052281.98,BTC,BCH,0.49902943,
1512147260.45,ETH,BTC,0.2,32863
1512015453.55,LTC,BCH,16.15409075,910714
1511740894.79,GAME,DGB,1.08886249,245089
1509441517.32,ETH,BTC,3.116,
1509628750.13,ETH,BTC,0.09048529,
1510395324.41,BTC,ETH,0.0013495,
1511793322.01,ETH,LTC,0.01,52905
1508407282.05,BTC,ETH,0.02281325,
1511818218.06,BTC,BCH,0.01035894,607275
1510159932.66,OMG,SALT,69.56521739,
1512145141.28,ETH,DASH,0.17764376,607644
1512032390.91,BTC,ETH,0.00097181,719968
1508364722.54,BTC,EOS,0.04026819,
1511806878.44,ETH,BTC,2.3842239,69919
1512017928.44,DASH,BTC,0.48864902,358312
1509518087.6,ETH,BTC,0.359887584206,
1511924452.1,BAT,ETH,400,205332
1511718998.8,EOS,BTC,192,348891
1511815461.2,LTC,CVC,0.44979197,428805
1509043456.74,LTC,ANT,1.33259512,
1512249322.9,ETH,EOS,0.81054575,791417
1510739428.76,BTC,XRP,0.0047,
1511799474.2,ETH,ANT,0.0048687219,415927
1512190960.8,LTC,ETC,0.49800797,690450
1511963635.57,BTC,DASH,0.036,552737
1510190894.81,ETH,OMG,0.128,
1511739136.04,EOS,ETH,1449.62168736,308409
1511857277.34,CVC,BTC,742.84315735,266549
1511801441.09,OMG,BTC,200,244816
1512098618.76,LTC,ETH,0.86614148,411193
1512136465.19,ETH,OMG,0.11,823026
1509576976.46,ETH,EOS,0.5,
1510965100.79,ETH,BCH,1.14958,
1507233583.89,LTC,VTC,0.42826575,
1512081384.77,LTC,BTC,4.9323988,83760
1512063273.79,ETH,LTC,0.0614311,471936
1511656900.62,ETH,BTC,3.877,105719
1512041417.2,ETH,BCH,0.653100294334,891320
1512143668.44,ETH,BTC,1.30814714,798729
1512098558.05,ETH,DASH,0.594091665238,514458
1511890937.52,ZEC,LTC,0.3018298,152496
1511946213.48,ETH,LTC,0.15589208,102919
1511844001.72,ETH,GNT,0.0089,722179
1511993096.61,DASH,OMG,4.827,549346
1512221178.68,ETH,EOS,0.32276111,323030
1511924442.16,DGB,ETH,220,111610
1509975153.75,ETH,LTC,1.00027622646,
1512156696.68,DASH,BTC,1.36786787,183575
1510177333.73,ANT,BCH,19.99568204,
1511770339.47,LTC,DOGE,1.75646051,370578
1509501842.84,LTC,BTC,53.08370036,
1511861540.84,ZEC,LTC,1.928,243577
1507838027.95,VTC,MONA,20.99629858,
1511999087.31,LTC,OMG,25,536602
1510322926.61,LTC,FUN,1.66595472,
1511883313.82,DASH,ETC,0.02174736,965409
1507648929.97,ANT,DCR,17.15823625,
1511865617.33,LTC,ETH,5.19050143,168356
1509050738.24,ZEC,XMR,21,
1511088982.9,DOGE,1ST,54.00412042,
1507841010.13,BCH,ETH,0.04952933,
1509808436.48,BTC,ETH,0.4,
1511817460.89,DOGE,LTC,359.33777,93608
1512173695.27,ETH,BTC,0.60765269,771769
1512165261.39,ETH,BAT,0.20987589,974627
1511013866.83,DGB,LBC,46.1972251,
1511898341.62,ETH,OMG,5,486233
1511459222.79,DOGE,BLK,10,
1511262578.49,ZEC,BTC,0.1406,
1508555649.5,BTC,SALT,0.00964219,
1512089185.56,ETH,DASH,0.02195458,556952
1509564447.47,REP,BTC,1.03428768,
1512049497.79,DASH,BTC,0.13124208,821965
1512159446.88,LTC,SALT,0.22965333,518603
1511883985.27,RDD,LTC,499.999,895804
1511822833.36,LTC,VTC,7.801535,672819
1511421041.61,FUN,BTC,212487.083022,
1512026299.07,ZEC,ETH,0.00313485,907538
1511974457.06,ETH,LTC,0.01558,337416
1511747621.01,DASH,ETH,8,919379
1508397768.6,BTC,OMG,0.0062,
1512099097.22,OMG,GNT,10.64351412,308181
1507648738.38,GNT,ETH,87.4897187,
1508731786.84,LTC,BTC,60,
1511928266.03,ETH,XMR,8,639141,
1512163492.25,CVC,BTC,1883.9839058,421668
1511746305.21,LTC,BCH,10.06888505,97973
1512079220.69,REP,GNT,0.01958195,463499
1509156791.15,BTC,ETH,0.21471106,
1511882401.43,CVC,EOS,149.38990617,134712
1509985039.68,ETH,BTC,7.99658812,
1512086097.25,ETH,BTC,2.58877907,194069
1511930122.03,BTC,BCH,0.03865033,153131
1511906037.06,ETH,SALT,1.00266649,290080
1512134050.46,ETH,ETC,1.45486002,59347
1509965154.11,GNT,BTC,882.33708424,
1512077001.03,ETH,ETC,0.1,795997
1512149035.44,ETH,BTC,0.091383,516402
1512022490.3,DGB,LTC,2959.25325923,214531
1509519410.81,ETH,FUN,0.05944247,
1510787260.6,ETH,BTC,14.4417665,
1510717349.39,ETH,EOS,13.5787667042,
1511831056.38,SALT,DASH,39.6364839,719454
1510715625.08,BTC,SALT,0.03895995,
1510140056.24,LTC,ETH,76.10544976
1508007756.33,BTC,ETH,0.104625
